#Date,TotalDistance
2026/04/17 09:30:34,5134.5
#Screen_X,Screen_Y,GazeDataCount
448,252,1315
#GameTime,Gaze_X,Gaze_Y
21.28,9,181
21.30,58,177
21.32,90,175
21.34,119,175
21.36,119,175
21.38,119,175
21.40,119,175
21.42,119,175
21.44,119,175
21.46,117,175
21.48,114,170
21.50,113,164
21.52,113,152
21.54,115,138
21.56,119,123
21.58,126,101
21.60,130,87
21.62,133,70
21.64,137,55
21.66,140,48
21.68,144,40
21.70,147,36
21.72,150,34
21.74,153,33
21.76,156,32
21.78,161,32
21.80,164,32
21.82,168,32
21.84,171,31
21.86,173,31
21.88,175,30
21.90,176,29
21.92,177,28
21.94,178,28
21.96,178,28
21.98,178,28
22.00,178,27
22.02,178,27
22.04,178,27
22.06,178,27
22.08,178,27
22.10,178,27
22.12,178,27
22.14,178,27
22.16,178,27
22.18,178,27
22.20,178,27
22.22,178,27
22.24,178,27
22.26,178,27
22.28,178,27
22.30,178,27
22.32,178,27
22.34,178,27
22.36,178,27
22.38,178,27
22.40,178,27
22.42,178,27
22.44,177,30
22.46,173,35
22.48,161,51
22.50,138,83
22.52,92,150
22.54,54,209
22.94,8,261
22.96,27,231
22.98,65,178
23.00,81,154
23.02,91,142
23.04,93,139
23.06,93,139
23.08,93,139
23.10,93,139
23.12,93,139
23.14,93,139
23.16,93,139
23.18,93,139
23.20,93,139
23.22,93,135
23.24,93,123
23.26,96,104
23.28,99,88
23.30,103,69
23.32,105,56
23.34,105,52
23.36,105,50
23.38,100,47
23.40,96,46
23.42,90,46
23.44,85,46
23.46,81,46
23.48,78,46
23.50,77,47
23.52,76,47
23.54,76,47
23.56,76,47
23.58,75,47
23.60,75,47
23.62,75,47
23.64,75,47
23.66,75,47
23.68,75,47
23.70,74,47
23.72,73,48
23.74,70,49
23.76,69,50
23.78,67,50
23.80,67,51
23.82,67,51
23.84,67,52
23.86,69,54
23.88,74,56
23.90,81,59
23.92,90,61
23.94,98,62
23.96,101,62
23.98,103,62
24.00,104,62
24.02,104,62
24.04,104,62
24.06,104,62
24.08,105,62
24.10,105,62
24.12,106,62
24.14,108,61
24.16,109,61
24.18,112,59
24.20,113,58
24.22,116,58
24.24,117,58
24.26,117,58
24.28,118,58
24.30,118,58
24.32,118,58
24.34,120,63
24.36,123,70
24.38,130,86
24.40,136,98
24.42,141,108
24.44,145,113
24.46,148,117
24.48,150,119
24.50,151,120
24.52,151,120
24.54,151,120
24.56,151,121
24.58,152,122
24.60,153,123
24.62,153,123
24.64,153,123
24.66,153,123
24.68,153,123
24.70,153,123
24.72,153,123
24.74,153,123
24.76,153,123
24.78,153,123
24.80,153,123
24.82,153,123
24.84,153,123
24.86,153,123
24.88,154,123
24.90,161,117
24.92,171,110
24.94,187,101
24.96,199,95
24.98,215,88
25.00,221,85
25.02,227,82
25.04,230,81
25.06,231,80
25.08,231,80
25.10,231,80
25.12,232,80
25.14,232,80
25.16,233,81
25.18,234,82
25.20,236,82
25.22,240,84
25.24,243,86
25.26,248,88
25.28,251,89
25.30,253,91
25.32,255,91
25.34,255,92
25.36,256,92
25.38,256,93
