#Date,TotalDistance
2026/04/17 18:16:11,365.0
#Screen_X,Screen_Y,GazeDataCount
820,487,26
#GameTime,Gaze_X,Gaze_Y,SourceId
12.54,379,186,0
12.56,379,186,0
12.58,379,186,0
12.60,379,186,0
12.62,379,186,0
12.64,379,186,0
12.66,379,186,0
12.68,379,186,0
12.70,379,186,0
12.72,379,186,0
12.74,379,186,0
12.76,379,186,0
12.78,379,186,0
12.80,379,186,0
12.82,379,186,0
12.84,379,186,0
12.86,379,186,0
12.88,379,186,0
12.90,379,186,0
12.92,379,186,0
12.94,379,186,0
12.96,379,186,0
12.98,368,199,0
13.00,330,236,0
13.02,231,308,0
13.04,85,400,0
