#Date
2026/03/17 15:54:29
#Screen_X,Screen_Y,GazeDataCount
674,379,56
#GameTime,Gaze_X,Gaze_Y
0.64,347,165
0.66,346,165
0.68,346,165
0.70,346,165
0.72,346,165
0.74,346,165
0.76,346,165
0.78,346,166
0.80,341,164
0.82,323,154
0.84,307,151
0.86,276,154
0.88,248,166
0.90,214,187
0.92,193,210
0.94,179,242
0.96,177,262
0.98,192,288
1.00,225,303
1.02,280,308
1.04,337,301
1.06,395,279
1.08,432,255
1.10,444,233
1.12,442,217
1.14,424,203
1.16,374,189
1.18,313,183
1.20,262,182
1.22,246,188
1.24,241,202
1.26,242,222
1.28,254,237
1.30,269,245
1.32,294,246
1.34,315,243
1.36,323,237
1.38,326,229
1.40,325,218
1.42,306,204
1.44,274,197
1.46,242,198
1.48,225,207
1.50,222,223
1.52,234,239
1.54,259,248
1.56,287,249
1.58,298,244
1.60,299,232
1.62,286,220
1.64,260,211
1.66,231,211
1.68,211,216
1.70,196,230
1.72,178,260
1.74,144,321
